count,x,y,reindexed_id,sensor_id,sin_hour,cos_hour
1,391.018,362.485,1,1,-1.1367198218633791e-13,1.0
2,392.377,364.043,1,1,-1.1367198218633791e-13,1.0
3,391.227,363.39,1,1,-1.1367198218633791e-13,1.0
4,390.528,362.747,1,1,-1.1367198218633791e-13,1.0
5,391.711,363.67,1,1,-1.1367198218633791e-13,1.0
6,392.67,363.637,1,1,-1.1367198218633791e-13,1.0
7,390.904,362.643,1,1,-1.1367198218633791e-13,1.0
8,391.65,361.976,1,1,-1.1367198218633791e-13,1.0
9,390.31,361.951,1,1,-1.1367198218633791e-13,1.0
10,391.34,361.094,1,1,-1.1367198218633791e-13,1.0
11,391.814,362.579,1,1,-1.1367198218633791e-13,1.0
12,391.801,361.826,1,1,-1.1367198218633791e-13,1.0
13,391.755,361.793,1,1,-1.1367198218633791e-13,1.0
14,390.122,358.736,1,1,-1.1367198218633791e-13,1.0
15,389.567,360.199,1,1,-1.1367198218633791e-13,1.0
16,390.43,360.216,1,1,-1.1367198218633791e-13,1.0
17,389.115,359.09,1,1,-1.1367198218633791e-13,1.0
18,391.146,360.931,1,1,-1.1367198218633791e-13,1.0
19,390.989,360.546,1,1,-1.1367198218633791e-13,1.0
20,391.122,359.159,1,1,-1.1367198218633791e-13,1.0
21,391.05,360.569,1,1,-1.1367198218633791e-13,1.0
22,0.0,0.0,1,1,-1.1367198218633791e-13,1.0
23,387.926,358.302,1,1,-1.1367198218633791e-13,1.0
24,389.132,357.472,1,1,-1.1367198218633791e-13,1.0
25,0.0,0.0,1,1,-1.1367198218633791e-13,1.0
26,388.914,359.84,1,1,-1.1367198218633791e-13,1.0
27,388.597,357.918,1,1,-1.1367198218633791e-13,1.0
28,388.389,359.806,1,1,-1.1367198218633791e-13,1.0
29,388.944,360.402,1,1,-1.1367198218633791e-13,1.0
30,389.744,361.115,1,1,-1.1367198218633791e-13,1.0
31,387.615,359.843,1,1,-1.1367198218633791e-13,1.0
32,389.632,361.902,1,1,-1.1367198218633791e-13,1.0
33,390.089,361.674,1,1,-1.1367198218633791e-13,1.0
34,389.269,361.738,1,1,-1.1367198218633791e-13,1.0
35,389.75,361.99,1,1,-1.1367198218633791e-13,1.0
36,388.625,361.794,1,1,-1.1367198218633791e-13,1.0
37,389.136,361.036,1,1,-1.1367198218633791e-13,1.0
38,387.955,359.595,1,1,-1.1367198218633791e-13,1.0
39,389.063,358.574,1,1,-1.1367198218633791e-13,1.0
40,387.56,359.343,1,1,-1.1367198218633791e-13,1.0
41,386.957,359.366,1,1,-1.1367198218633791e-13,1.0
42,387.823,360.103,1,1,-1.1367198218633791e-13,1.0
43,386.904,359.3,1,1,-1.1367198218633791e-13,1.0
44,386.859,360.919,1,1,-1.1367198218633791e-13,1.0
45,386.136,360.132,1,1,-1.1367198218633791e-13,1.0
46,385.304,360.281,1,1,-1.1367198218633791e-13,1.0
47,388.45,360.265,1,1,-1.1367198218633791e-13,1.0
48,387.94,361.764,1,1,-1.1367198218633791e-13,1.0
49,387.936,361.802,1,1,-1.1367198218633791e-13,1.0
50,389.709,361.259,1,1,-1.1367198218633791e-13,1.0
51,388.395,363.601,1,1,-1.1367198218633791e-13,1.0
52,389.447,364.383,1,1,-1.1367198218633791e-13,1.0
53,388.692,361.956,1,1,-1.1367198218633791e-13,1.0
54,386.077,363.828,1,1,-1.1367198218633791e-13,1.0
55,0.0,0.0,1,1,-1.1367198218633791e-13,1.0
56,385.596,365.315,1,1,-1.1367198218633791e-13,1.0
57,385.959,366.48,1,1,-1.1367198218633791e-13,1.0
58,383.743,367.494,1,1,-1.1367198218633791e-13,1.0
59,388.063,368.382,1,1,-1.1367198218633791e-13,1.0
60,387.027,369.29,1,1,-1.1367198218633791e-13,1.0
61,384.912,369.274,1,1,-1.1367198218633791e-13,1.0
62,385.37,368.692,1,1,-1.1367198218633791e-13,1.0
63,383.375,370.652,1,1,-1.1367198218633791e-13,1.0
64,385.188,370.133,1,1,-1.1367198218633791e-13,1.0
65,384.367,372.66,1,1,-1.1367198218633791e-13,1.0
66,386.106,373.153,1,1,-1.1367198218633791e-13,1.0
67,385.443,374.497,1,1,-1.1367198218633791e-13,1.0
68,382.316,374.142,1,1,-1.1367198218633791e-13,1.0
69,384.472,372.083,1,1,-1.1367198218633791e-13,1.0
